milestone,commit,gate,result,next decision,model generation occurred,optimizer steps occurred,GSM1K evaluation occurred,sealed-final content accessed
0,f1e4dd9decf42a21d7de6364ca8ea686580c89b6,"scope freeze","passed","build evaluator",false,false,false,false
1,f9f579fbc61c09776c7d4bf28a44ee18f6f969d0,"foundation contracts","passed","run hardware smoke",false,false,false,false
1-smoke,c1ef56184723c092a39937009fa2565aa1841c3c,"ten-example smoke","passed","calibrate output format",true,false,true,false
1.5,5e873f10dfca2b9ad4ebd2dc30bee62c72008aa3,"prompt admission","failed","separate extraction",true,false,true,false
1.6,e1d0576ac7c625de80960edf414d7270ed5cc8e4,"fresh extraction validation","failed","resolve coverage defects",true,false,true,false
1.7,7786fe7c5d80953255b6a6ee15c4dcccb275e6d6,"final evaluator validation","failed with documented exception path","run fully audited baseline",true,false,true,false
2,f4ac19f4e89917d3fee1e2831daad4757cee5f84,"frozen baseline","521/814 correct","audit correct-scored outputs",true,false,true,false
2.1,0d838318b22404eac1b497ad859a0cfb8b6c7343,"label-blind trust audit","passed","classify failures",false,false,false,false
3,e99be66304eeeede98d1787cf9b1edb049a4a057,"complete taxonomy","293/293 reviewed","validate synthesis",false,false,false,false
4,c023ee068fe88400fbf378ade8c8e8e9fdcebfee,"procedural quality and yield","failed","repair renderer",false,false,false,false
4.1,39ea07cdb3d09e2811f8aa871ec3378bebc743f8,"repaired procedural smoke","failed","test typed compiler",false,false,false,false
4.2,ca835716c6cf456699a99f82cc9e09be800de828,"renderer stress","failed","design local realization",false,false,false,false
5A,85179d7b8d3f9b48f0a36c92119c4f5049708ecd,"design freeze","passed","run local smoke",false,false,false,false
5B,90a1806e6929e1297d0936b18e1f6fcfae4b0701,"local realization smoke","failed","try compact protocol",true,false,false,false
5C,1110d987cd3ea5a980e2c80c79ccf2fe38678195,"compact realization smoke","failed","try stronger model",true,false,false,false
5D,057130d5da79751ab9b05508dd83209e5a6b65b5,"stronger-model comparison","failed","pivot to template bank",true,false,false,false
6A,822596a6f93435285e86c8fc63714341c525a833,"template-bank readiness","failed","add composition",false,false,false,false
6B,2650f6adf63a8815403f472b925863890cade4e2,"composition technical gate","passed","obtain user review",false,false,false,false
6C-R,457dc5e65e6828380d91c2b3c930ccf1c1ad98db,"runtime-diversity packet","failed","audit capacity",false,false,false,false
