milestone,date,commit,experiment,gate,outcome,key metric,stopped before,next decision
0,2026-07-16,f1e4dd9decf42a21d7de6364ca8ea686580c89b6,"Phase 1 research plan","scope and benchmark firewall","passed","arithmetic Phase 1 scope frozen","model execution","build reproducible evaluator"
1,2026-07-16,f9f579fbc61c09776c7d4bf28a44ee18f6f969d0,"evaluation foundation","unit and manifest contracts","passed","pinned evaluator architecture","real-model smoke","validate RTX 3080 path"
1-smoke,2026-07-16,c1ef56184723c092a39937009fa2565aa1841c3c,"RTX 3080 evaluator smoke","ten-example hardware gate","passed","10 examples executed on CUDA","full evaluation","calibrate output format"
1.5,2026-07-17,5e873f10dfca2b9ad4ebd2dc30bee62c72008aa3,"output-format calibration","prompt admission gate","failed","three frozen prompt formats compared","development baseline","separate extraction from prompting"
1.6,2026-07-17,e1d0576ac7c625de80960edf414d7270ed5cc8e4,"deterministic answer extraction","fresh validation gate","failed","canonical extractor calibrated and audited","development baseline","resolve remaining coverage defects"
1.7,2026-07-17,7786fe7c5d80953255b6a6ee15c4dcccb275e6d6,"final evaluator validation","fresh evaluator gate","failed with documented exception path","bounded truncation and terminal-number extraction frozen","unqualified admission","use one-time coverage exception with full audit"
2,2026-07-18,f4ac19f4e89917d3fee1e2831daad4757cee5f84,"frozen development baseline","814-example evaluator run","passed","521/814 correct; 752/814 extractable","failure-targeted training","audit baseline correctness"
2.1,2026-07-18,0d838318b22404eac1b497ad859a0cfb8b6c7343,"baseline trust audit","complete label-blind correct-response audit","passed","521/521 correct-scored outputs audited","failure synthesis","classify all 293 failures"
3,2026-07-18,e99be66304eeeede98d1787cf9b1edb049a4a057,"failure taxonomy and synthesis design","complete failure-review gate","passed","293/293 failures classified","dataset generation","validate procedural generators"
4,2026-07-18,c023ee068fe88400fbf378ade8c8e8e9fdcebfee,"bounded procedural generation","quality and yield smoke","failed","120 attempts replayed exactly","full pilot generation","repair rendering and diversity"
4.1,2026-07-18,39ea07cdb3d09e2811f8aa871ec3378bebc743f8,"procedural rendering repair","repaired smoke gate","failed","typed rendering improved but readiness remained blocked","full pilot generation","test typed realization compiler"
4.2,2026-07-18,ca835716c6cf456699a99f82cc9e09be800de828,"typed realization compiler","renderer stress gate","failed","compiler contract passed; stress gate failed","full pilot generation","investigate constrained local realization"
5A,2026-07-18,85179d7b8d3f9b48f0a36c92119c4f5049708ecd,"constrained local realization design","value-blind design freeze","passed","semantic and surface roles separated","counted model smoke","run local realization smoke"
5B,2026-07-18,90a1806e6929e1297d0936b18e1f6fcfae4b0701,"bounded local-model realization","counted realization smoke","failed","exact replay passed; quality gate blocked","pilot generation","try compact protocol"
5C,2026-07-18,1110d987cd3ea5a980e2c80c79ccf2fe38678195,"compact tagged realization","counted micro-smoke","failed","exact replay passed; stop rule applied","pilot generation","compare stronger compact model"
5D,2026-07-18,057130d5da79751ab9b05508dd83209e5a6b65b5,"stronger compact realizer","controlled comparison gate","failed","stronger model did not clear realization gate","pilot generation","pivot to offline template bank"
6A,2026-07-19,822596a6f93435285e86c8fc63714341c525a833,"offline template bank","static and smoke readiness","failed","template bank implemented and replayed","full dataset generation","add composition compiler"
6B,2026-07-19,2650f6adf63a8815403f472b925863890cade4e2,"offline template composition","technical review-packet gate","passed","full-bank static gate and fresh smoke passed","pilot generation","obtain genuine user review"
6C-R,2026-07-19,457dc5e65e6828380d91c2b3c930ccf1c1ad98db,"human-feedback language repair","runtime-diversity packet gate","failed","language repair preserved; packet gate failed","pilot generation","audit runtime capacity"
6D,2026-07-19,fa696d692b1af49afc3966db9f151e65e917ee06,"collision-free runtime allocation","exact full-generation capacity","failed","runtime collisions removed; bank capacity insufficient","full generation","permit bounded reviewed-template reuse"
6E,2026-07-19,0e5f6d221f2eb10a4bf93fcb264c629878829e34,"bounded template reuse","latent-program capacity","failed","reuse policy passed; latent capacity failed","full generation","try reduced signal-first design"
7A,2026-07-19,7978960d38552421370ecca1e013d825ebd1de40,"signal-first allocation","target-compatible capacity","failed","preliminary capacity invalidated by compatibility","pilot generation","build feasible submode allocator"
7B,2026-07-19,23c2cdb5ab2a931df6b711b1f3fc571c748035c3,"feasible pilot allocation","review-smoke identity gate","failed","2504-attempt capacity passed; identity gate failed","pilot generation","integrate runtime identity"
7C,2026-07-19,8653980c25ab1d03c35adf52e9c73f4814ddc2c4,"runtime-exact scheduling","2504-slot reconstruction","failed","runtime-exact reconstruction failed","pilot generation","calibrate submode surfaces"
7D,2026-07-19,bfdbd4a89d29f8cdccde5eaca0517af397e8a289,"submode-local surface policy","corrected compatibility gate","failed","surface policy selected but capacity insufficient","pilot generation","adjust difficulty minimally"
7E,2026-07-19,6a5554050d7dad5ef4a268b2008d532732f09088,"difficulty reallocation","complete schedule gate","failed","weighted-average policy passed; exact schedule failed","pilot generation","test bounded multipliers"
7F,2026-07-19,b66290b633fac4434e680be3b9180966950e0ee9,"fixed-attempt multiplier search","exact preflight","failed","1.15 and 1.125 both failed","pilot generation","try reduced pool sizes"
7G,2026-07-19,a005dda6bf42d09b53a3d50e30cc7fc5a1d90654,"reduced signal-pilot sizes","size-selection preflights","failed","900 through 600 exhausted without pass","pilot generation","fast-track matched-template experiment"
8A,2026-07-20,021517438e62210bc37a783269f4b7f367570745,"matched targeted and generic datasets","dataset generation and contamination gate","passed","500 targeted + 500 generic; zero unresolved contamination","training","validate QLoRA stack"
8B,2026-07-20,6d2b96e845870ed5c56cfbb3ba115cbd311d0e71,"native Windows QLoRA smoke","32-step compatibility gate","passed","32 optimizer steps on RTX 3080","full comparison","train matched adapters"
8C,2026-07-20,9ac4202c7e2a0271a4c88d5202d21188250a6b6b,"first matched adapters","training-token parity","failed","both adapters trained; padded shapes did not establish token parity","GSM1K evaluation","freeze token-matched protocol"
8D-protocol,2026-07-20,02a7a3f16bd7ee4afa75b59b034e7e3c13c26238,"token-matched QLoRA protocol","Method B and four-step smoke","passed","whole-example token budgeting frozen","full comparison","train final token-matched adapters"
8D,2026-07-20,911b48106a80c950e4e0f0f334073c8b224c7b44,"full token-matched comparison","parity and one-seed signal gates","failed","271292 vs 271150 loss-bearing tokens; shared collapse","further SFT claims","diagnose masking and retention"
8E,2026-07-20,b2c02fffefba690c7d49236e4d291ec7e79ef89f,"SFT collapse diagnosis","assistant-only retention smoke","failed","full-sequence supervision defect fixed; retention still degraded","GSM1K evaluation","build retention-safe ladder"
8F-8H,2026-07-20,31105ba982cc17370d2c2a453bfb442835711b56,"retention-safe adaptation ladder","disjoint retention validation","failed","ladder trained; selected pair failed independent validation","GSM1K evaluation","design powered retention artifacts"
8I-8K,2026-07-20,d22044883457e194d02a9dd769d9b75010eca0b9,"powered retention instruments","untouched-base usability gate","failed","new instruments unusable for pinned base","adapter evaluation","use base-conditioned retention"
8L,2026-07-20,9af1840792037e5b7b5f91366536554668acf9bf,"base-conditioned retention","four-cell pair gate","failed","unscaled pair failed retention","GSM1K evaluation","test common runtime LoRA scaling"
8M-retention,2026-07-21,2a69bca54b8e90b88d51b91e2ea347f221722e5c,"common LoRA scaling","three-suite retention gate","passed","common scale 0.50 passed all six cells","GSM1K evaluation","compare scaled adapters"
8M,2026-07-21,0b6cbe350b6065317fe06aa93b48502ee4e57c56,"scaled targeted versus generic comparison","absolute signal gate","failed","base 521; generic 387; targeted 414; targeted-generic +27","second seed and sealed evaluation","test contrastive task vector"
8N,2026-07-21,08ae1a2763e5a054972231c0817b6ff8e35fc076,"targeted-minus-generic task vector","retention scale selection","failed","exact dense equivalence; 0/4 scale matrices passed","GSM1K evaluation","investigate replay-preserving adaptation"
9,2026-07-21,a0438698e37bdb4f0e4216225eb0d9b8f6c2dc8b,"base replay and KL design","independent holdout base gate","failed","83 replay behaviors frozen; holdout instrument unusable","training","design verifier-reward GRPO"
10,2026-07-21,a5f3af31bc05c25871934259c6d17e3ed47b704a,"verifier-reward GRPO compatibility","first sampled generation","failed","CUDA cumsum deterministic operation unavailable","backward pass","audit warning-only replay"
10E,2026-07-21,8f67e46262b7edafc57861aaf185efa345228179,"warning-only GRPO replay","exact replay gate","failed","generation projections matched but source drift invalidated evidence","two-step smoke","move replay to immutable worktree"
10G-runtime,2026-07-21,b647a3dcadcab941359fbecab2b11c8f9f63cb8d,"GRPO runtime-root decoupling","source interpreter and artifact separation","passed","immutable root contract implemented","training","rerun immutable replay"
10G,2026-07-21,ccbc88797441159f892bed28a336b625fc2ccab4,"source-immutable GRPO replay","immutable replay validation","failed","replay failed closed","two-step smoke","standardize launch environment"
10H-environment,2026-07-21,2254b22aa10c9f024eebd56c1f1b98b9a3cf16ab,"deterministic process environment","launch-contract tests","passed","hash and accelerator variables frozen before Python launch","model replay","run V3 replay"
10H,2026-07-21,e472a57d49fd0cfe074a9cf957b89cb15bd34cd3,"V3 immutable replay","child NVML preflight","failed","stopped before model loading","model generation","replace NVML preflight"
10I-CUDA,2026-07-21,a13c31b43a72c3bec205e440aaf7c424ac487d47,"direct CUDA runtime preflight","child CUDA compute evidence","passed","PyTorch CUDA child execution verified","two-step smoke","run V4 immutable replay"
10I,2026-07-21,47bbe91e7bc0367be9abec68bfe113b4787c5d43,"V4 source-immutable replay and smoke","first two-step warning audit","failed","6 replay processes matched; first smoke completed 0 optimizer steps","backward pass","audit complete warning evidence"
10J,2026-07-22,20409ba41dc99bb1e6300b53d9ad9b3db1431722,"gradient-checkpoint warning audit","frozen warning classification","failed closed","fatal or unresolved warning classes; optimizer steps 0","new GRPO implementation","close Phase 1"
